SNP,1
rs12900938,1
rs7170864,1
rs7179358,0
rs4932078,0
rs4932072,1
rs4984134,1
rs2665033,0
rs1303908,1
rs7167893,0
rs4462663,0
rs7402159,0
rs9330233,0
rs8040193,1
rs4932679,1
rs6606788,1
rs12900257,1
rs7359214,0
rs12915528,1
rs12102024,0
rs8034210,1
rs11486384,0
rs35297352,1
rs8029154,0
rs5006363,0
rs7168628,0
rs8027884,0
rs8030140,0
rs12594262,0
rs3213932,0
rs3812920,0
rs11855443,0
rs12914045,0
rs1046860,0
rs548,0
rs8028399,0
rs765763,0
rs8043036,0
rs8042900,0
rs8032564,0
rs11632180,0
rs8028440,0
rs7171787,0
rs722410,0
rs17841096,0
rs11634023,0
rs2289823,0
rs7403800,0
rs7402104,1
rs956120,0
rs3751566,0
rs8029108,1
rs8042342,1
rs12594495,0
rs1579821,1
rs4778298,0
rs4134803,0
rs2289819,0
rs4778471,0
rs7174982,0
rs4778470,0
rs1009153,0
rs2068655,0
rs2304341,0
rs1897786,0
rs999842,0
rs1051288,1
rs3693,0
rs4778413,1
rs17524529,1
rs7168000,1
rs6606817,1
rs12911925,1
rs7170784,1
rs7170838,1
rs17137365,0
rs4778370,1
rs3764213,1
rs4592619,1
rs1347314,0
rs12439636,1
rs6606819,0
rs7181789,0
rs3812923,1
rs12902722,1
rs6606823,1
rs3812924,1
rs11263683,1
rs4778575,1
rs1991922,0
rs6606825,0
rs7168367,0
rs11858281,0
rs12900552,1
rs11636068,0
rs7174119,0
rs11263687,0
rs10152278,0
rs4778307,1
rs11635667,0
rs11263693,0
rs3883043,1
rs6576313,1
rs1814766,0
rs4778531,1
rs17118269,1
rs8027906,0
rs1526175,1
rs12911242,1
rs4267282,1
rs1589918,0
rs1608962,1
rs1405186,1
rs4778545,1
rs7174702,1
rs8036730,1
rs8034585,0
rs7164717,0
rs12904911,0
rs11638266,0
rs6576431,1
rs8036015,0
rs12903906,0
rs12441716,1
rs4778560,0
rs7496534,1
rs12440458,1
rs7179053,0
rs12441827,0
rs2900,0
rs6576483,1
rs10873623,1
rs12441183,0
rs6576525,1
rs7495535,1
rs12899973,0
rs7496929,0
rs17116327,1
rs7169369,1
rs7181128,0
rs10873634,0
rs11161318,0
rs9785,1
rs850817,1
rs6576599,1
rs17116771,0
rs10519442,1
rs6576608,1
rs17116917,0
rs7163927,0
rs8029455,1
rs11637211,0
rs850794,0
rs699330,1
rs850791,0
rs7497973,1
rs1722794,1
rs1722793,0
rs17117346,0
rs1640501,0
rs1640496,1
rs7180680,0
rs1717839,1
rs9972595,1
rs1722810,0
rs1717837,1
rs12903451,0
rs1117688,0
rs1628195,0
rs824192,0
rs12912091,0
rs7173556,1
rs824207,1
rs4624124,1
rs12439817,0
rs1722834,1
rs940595,0
rs8035695,1
rs1629905,0
rs824211,1
rs824209,0
rs824172,0
rs824174,0
rs11635345,1
rs2352765,1
rs4450355,1
rs824162,0
rs1524845,1
rs11161352,1
rs1402843,1
rs8031166,0
rs17757180,1
rs11633486,0
rs8038712,0
rs11161353,0
rs10519445,0
rs4778341,0
rs1459985,0
rs8037816,0
rs11854164,0
rs4778345,0
rs2030484,0
rs7167698,0
rs12903821,0
rs6576648,1
rs12148769,1
rs11635083,0
rs11161360,0
rs12899677,0
rs12915222,1
rs2353505,0
rs898368,0
rs2353506,0
rs4778264,0
rs8041086,0
rs6576651,1
rs12906805,1
rs4522375,0
rs7176869,0
rs2353499,0
rs4778368,1
rs12916663,1
rs10163100,0
rs12148861,0
rs12148138,1
rs4555114,1
rs11639152,1
rs2353514,1
rs1459968,0
rs12905098,0
rs17117939,0
rs1563817,0
rs12442070,0
rs328642,0
rs2677408,0
rs7179664,1
rs11161391,1
rs3914576,0
rs11161396,1
rs11161397,1
rs1850477,0
rs1976756,0
rs12910661,0
rs11630824,1
rs11856821,0
rs4778389,0
rs7166232,0
rs4277305,0
rs1110961,0
rs4778410,0
rs2883344,1
rs1850475,1
rs8040374,0
rs12441672,1
rs2011170,1
rs12161938,1
rs2007159,0
rs2133277,0
rs8040319,0
rs1874848,1
rs9652534,1
rs12591885,0
rs12595522,0
rs2015894,0
rs7174746,1
rs8025557,0
rs7180201,0
rs11854546,1
rs12904329,0
rs7495208,0
rs8038746,1
rs8040630,0
rs7177703,1
rs6420955,0
rs6576373,1
rs6576374,0
rs7162406,1
rs7164751,0
rs7497239,0
rs11631911,0
rs1947402,1
rs12592245,0
rs12902295,0
rs17114595,0
rs11161128,0
rs1901857,0
rs11161130,1
rs17114621,0
rs975907,1
rs11637828,1
rs11161135,1
rs9944191,1
rs11858016,1
rs11854309,1
rs8034405,1
rs975963,1
rs7167156,1
rs9652530,0
rs2167928,0
rs7176450,0
rs3913226,1
rs8042010,0
rs12594190,1
rs4028683,1
rs12904303,0
rs13329219,1
rs12910496,0
rs749305,0
rs7175885,0
rs8029860,1
rs11631457,0
rs7171320,1
rs7166479,1
rs1453556,1
rs17772751,0
rs8036523,1
rs17772804,1
rs11161140,0
rs17178750,1
rs4028400,1
rs3867498,1
rs736008,1
rs752873,0
rs1079207,0
rs10047997,1
rs12906707,1
rs12592215,1
rs951651,1
rs7183510,1
rs11161151,1
rs2030062,1
rs952981,1
rs4534820,1
rs12439229,0
rs7175827,1
rs2201840,1
rs8037745,1
rs7175782,0
rs4906694,0
rs4906695,0
rs17114848,1
rs2075814,0
rs17785249,1
rs11633230,1
rs2355600,1
rs12592731,1
rs12591149,0
rs671362,0
rs610736,0
rs220030,1
rs220029,1
rs4906939,0
rs6576396,0
